index,Станок,Группа,Тип,Мощность,КПД,Точность,Автоматизация,Специализация,Масса,Классификация_по_массе,Длина,Ширина,Высота,Габаритный_диаметр,Город,Производитель,Тип_станка
40,162К(26А),1.0,6.0,5.8,0.75,Н,Ручной,Универсальный,2350.0,Средний,1190,2730,1350,Ø 420,Москва,None,Токарно-винторезный универсальный
41,163,1.0,6.0,14.0,0.75,Н,Ручной,Универсальный,3800.0,Средний,3550,1740,1275,Ø 630,Рязань,None,Токарно-винторезный универсальный
42,165,1.0,6.0,22.0,0.75,Н,Ручной,Универсальный,12500.0,Тяжёлый,5825,2100,1760,Ø 1000,Рязань,None,Токарно-винторезный универсальный
43,1658,1.0,6.0,22.0,0.75,Н,Ручной,Универсальный,17730.0,Тяжёлый,11380,2100,1760,Ø 1000,Рязань,None,Токарно-винторезный универсальный
44,1660,1.0,6.0,60.0,0.75,Н,Ручной,Универсальный,46000.0,Тяжёлый,13200,2500,2060,Ø 1250,Краматорск,None,Токарно-винторезный тяжелый
45,16А20Ф3,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,4150.0,Средний,3700,3000,2100,Ø 400,Тверь,None,Токарный патронно-центровой с ЧПУ
46,16А20Ф3С32,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,4150.0,Средний,3700,3000,2100,Ø 400,Москва,None,Токарный патронно-центровой с ЧПУ
47,16А20Ф3С39,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,4150.0,Средний,3700,3000,2100,Ø 400,Москва,None,Токарный патронно-центровой с ЧПУ
48,16Б04П,1.0,6.0,1.1,0.75,П,Ручной,Универсальный,660.0,Лёгкий,1310,690,1360,Ø 250,Одесса,Кировакан,Токарно-винторезный повышенной точности
49,16Б05А,1.0,6.0,1.5,0.75,А,Ручной,Универсальный,1365.0,Средний,1530,910,1385,Ø 250,Одесса,None,Токарно-винторезный особо высокой точности
50,16Б05П,1.0,6.0,1.5,0.75,П,Ручной,Универсальный,705.0,Лёгкий,1510,725,1360,Ø 250,Одесса,Кировакан,Токарно-винторезный повышенной точности
51,16Б16,1.0,6.0,4.0,0.75,"Н, П",Ручной,Универсальный,1900.0,Средний,2025,1110,2270,Ø 320,Куйбышев (Самара),None,Токарно-винторезный универсальный
52,16Б16А,1.0,6.0,2.8,0.75,А,Ручной,Универсальный,2110.0,Средний,1310,690,1360,Ø 320,Куйбышев (Самара),None,Токарно-винторезный особо высокой точности
53,16Б16КА,1.0,6.0,2.8,0.75,А,Ручной,Универсальный,2110.0,Средний,1310,690,1360,Ø 320,Куйбышев (Самара),None,Токарно-винторезный особо высокой точности
54,16Б16КП,1.0,6.0,4.8,0.75,П,Ручной,Универсальный,2270.0,Средний,1310,690,1360,Ø 320,Куйбышев (Самара),None,Токарно-винторезный особо высокой точности с АКС
55,16Б16П,1.0,6.0,7.5,0.75,П,Ручной,Универсальный,2000.0,Средний,1310,690,1360,Ø 320,Куйбышев (Самара),None,Токарно-винторезный повышенной точности универсальный
56,16Б16Т1,1.0,6.0,4.2,0.75,П,Ручной,Универсальный,2860.0,Средний,1310,690,1360,Ø 320,Куйбышев (Самара),None,Токарный патронно-центровой с ЧПУ
57,16Б16Ф3,1.0,6.0,3.8,0.75,Н,Ручной,Универсальный,2500.0,Средний,1310,690,1360,Ø 320,Куйбышев (Самара),None,Токарный патронно-центровой с ЧПУ
58,16Б20П,1.0,6.0,4.1,0.75,П,Ручной,Универсальный,2050.0,Средний,2595,1405,1115,Ø 400,Москва,None,Токарно-винторезный повышенной точности универсальный
59,16Б25ПСП,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3200.0,Средний,2860,1300,1345,Ø 500,Фрунзе,None,Токарно-винторезный повышенной точности универсальный
60,16В20,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,2450.0,Средний,2800,1190,1450,Ø 445,Астрахань,None,Токарно-винторезный универсальный
61,16ВТ20П,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3000.0,Средний,2800,1265,1505,Ø 500,Витебск (Вистан),None,Токарно-винторезный повышенной точности универсальный
62,16Д16АФ1,1.0,6.0,5.5,0.75,А,Ручной,Универсальный,2000.0,Средний,2800,1265,1505,Ø 320,Куйбышев (Самара),None,Токарно-винторезный особо высокой точности с УЦИ
