index,Станок,Группа,Тип,Мощность,КПД,Точность,Автоматизация,Специализация,Масса,Классификация_по_массе,Длина,Ширина,Высота,Габаритный_диаметр,Город,Производитель,Тип_станка
221,2450,2.0,4.0,2.0,0.75,А,Ручной,Универсальный,5560.0,Средний,2300,2840,2510,630 х 1100,Москва (МЗКРС),Куйбышев,Координатно-расточный
222,24К40АФ4,2.0,4.0,4.2,0.75,А особо высокая точность,Ручной,Универсальный,6885.0,Средний,2515,2466,3060,400 х 800,Куйбышев,Самара,Координатно-расточный
223,24К40СФ4,2.0,4.0,4.2,0.75,С особо точный,Ручной,Универсальный,6885.0,Средний,2515,2466,3060,400 х 800,Куйбышев,Самара,Координатно-расточный
224,250-ИТВ,2.0,5.0,3.0,0.75,В,Ручной,Универсальный,1180.0,Средний,1790,810,1400,Ø 250,Ижевск,None,Токарно-винторезный повышенной точности универсальный
225,250-ИТП,2.0,5.0,3.0,0.75,П,Ручной,Универсальный,1180.0,Средний,1790,810,1400,Ø 300,Ижевск,None,Токарно-винторезный повышенной точности универсальный
226,250ИТВМ,2.0,5.0,3.0,0.75,В,Ручной,Универсальный,1180.0,Средний,1790,810,1400,Ø 240,Ижевск,None,Токарно-винторезный универсальный
227,250ИТВМ.01,2.0,5.0,3.0,0.75,В,Ручной,Универсальный,1180.0,Средний,1790,810,1400,Ø 250,Ижевск,None,Токарно-винторезный повышенной точности универсальный
228,250ИТВМ.03,2.0,5.0,3.0,0.75,В,Ручной,Универсальный,1240.0,Средний,2005,810,1400,Ø 240,Ижевск,None,Токарно-винторезный высокой точности
229,250ИТВМФ1,2.0,5.0,3.0,0.75,В,Ручной,Универсальный,1190.0,Средний,1790,810,1400,Ø 240,Ижевск,None,Токарно-винторезный высокой точности
230,2532Л,2.0,5.0,3.0,0.75,Н,Ручной,Универсальный,2150.0,Средний,1850,800,2600,Ø 35,Октемберян (Гюмри),None,Радиально-сверлильный облегченный
231,255,2.0,5.0,4.3,0.75,Н,Ручной,Универсальный,4300.0,Средний,2500,970,2250,Ø 50,Одесса,None,Радиально-сверлильный
232,257,2.0,5.0,7.0,0.75,Н,Ручной,Универсальный,10600.0,Тяжёлый,4080,1020,4075,Ø 75,Одесса,None,Радиально-сверлильный
233,2620,2.0,6.0,10.0,0.75,Н,Ручной,Универсальный,12000.0,Тяжёлый,5510,3200,3012,Ø 85,Ленинград,(Свердлов),Горизонтально-расточной c неподвижной передней стойкой
234,2620А,2.0,6.0,7.5,0.75,Н,Ручной,Универсальный,12000.0,Тяжёлый,5510,3200,3012,Ø 90,Ленинград,(Свердлов),Горизонтально-расточной
235,2620В,2.0,6.0,10.0,0.75,Н,Ручной,Универсальный,12500.0,Тяжёлый,5700,3400,3000,Ø 90,Ленинград,(Свердлов),Горизонтально-расточной
236,2622,2.0,6.0,7.5,0.75,Н,Ручной,Универсальный,11800.0,Тяжёлый,5510,3200,3012,Ø 90,Ленинград,(Свердлов),Горизонтально-расточной
237,2622А,2.0,6.0,7.5,0.75,Н,Ручной,Универсальный,11800.0,Тяжёлый,5510,3200,3012,Ø 90,Ленинград,(Свердлов),Горизонтально-расточной
238,2622В,2.0,6.0,8.5,0.75,Н,Ручной,Универсальный,12200.0,Тяжёлый,5700,3400,3000,Ø 90,Иваново,None,Горизонтально-расточный
239,262Г,2.0,6.0,6.5,0.75,Н,Ручной,Универсальный,11750.0,Тяжёлый,5070,2250,2755,Ø 85,Ленинград,(Свердлов),Горизонтально-расточной c неподвижной передней стойкой
240,262Д,2.0,6.0,6.5,0.75,Н,Ручной,Универсальный,11350.0,Тяжёлый,5070,2250,2755,Ø 85,Ленинград,(Свердлов),Горизонтально-расточной c неподвижной передней стойкой
241,2636,2.0,6.0,19.0,0.75,Н,Ручной,Универсальный,35700.0,Тяжёлый,8160,5070,4805,Ø 125,Иваново,None,Горизонтально-расточной c неподвижной передней стойкой
242,2А106П,2.0,1.0,0.4,0.75,Н,Ручной,Универсальный,73.0,Лёгкий,600,350,650,Ø 6,Молодечно,None,Сверлильный настольный
243,2А112,2.0,1.0,0.5,0.75,Н,Ручной,Универсальный,100.0,Лёгкий,700,300,800,Ø 12,None,None,Сверлильный настольный с вариатором
244,2А125,2.0,1.0,2.8,0.75,Н,Ручной,Универсальный,870.0,Лёгкий,980,825,2300,Ø 25,Стерлитамак,None,Вертикально-сверлильный
245,2А135,2.0,1.0,4.5,0.75,Н,Ручной,Универсальный,1300.0,Средний,1240,810,2500,Ø 25,Стерлитамак,None,Вертикально-сверлильный
246,2А150,2.0,1.0,7.5,0.75,Н,Ручной,Универсальный,2250.0,Средний,1550,970,2865,Ø 25,Стерлитамак,None,Вертикально-сверлильный
247,2А430,2.0,4.0,0.8,0.75,А,Ручной,Универсальный,2330.0,Средний,1340,1500,2025,280 х 560,Каунас,None,Координатно-расточный
248,2А450,2.0,4.0,4.5,0.75,Н,Ручной,Универсальный,7300.0,Средний,2670,3305,2660,630 х 1100,Москва (МЗКРС),Куйбышев,Координатно-расточный
249,2А53,2.0,5.0,2.6,0.75,Н,Ручной,Универсальный,4000.0,Средний,2250,910,3070,Ø 35,Одесса,None,Радиально-сверлильный
250,2А55,2.0,5.0,4.5,0.75,Н,Ручной,Универсальный,4100.0,Средний,2625,968,3265,Ø 50,Одесса,None,Радиально-сверлильный
251,2А554,2.0,5.0,5.5,0.75,Н,Ручной,Универсальный,4700.0,Средний,2665,1030,3430,Ø 50,Одесса,None,Радиально-сверлильный
252,2А576,2.0,5.0,7.5,0.75,Н,Ручной,Универсальный,12000.0,Тяжёлый,4180,1280,4065,Ø 80,Одесса,None,Радиально-сверлильный
253,2А587,2.0,5.0,11.0,0.75,Н,Ручной,Универсальный,18000.0,Тяжёлый,4850,1830,4912,Ø 80,Одесса,None,Радиально-сверлильный
254,2А592,2.0,5.0,1.7,0.75,Н,Ручной,Универсальный,780.0,Лёгкий,800,680,2000,Ø 25 х 130,Витебск,None,Радиально-сверлильный
255,2А614-1,2.0,6.0,6.0,0.75,Н,Ручной,Универсальный,8500.0,Средний,4518,2950,2870,Ø 80 Чаренцаван,None,None,Горизонтально-расточной c неподвижной передней стойкой
256,2А615-1,2.0,6.0,6.0,0.75,Н,Ручной,Универсальный,8500.0,Средний,4518,2950,2870,Ø 80 Чаренцаван,None,None,Горизонтально-расточной c неподвижной передней стойкой
257,2А620,2.0,6.0,11.0,0.75,Н,Ручной,Универсальный,18300.0,Тяжёлый,6070,3970,3220,Ø 110,Ленинград,(Свердлов),Горизонтально-расточной c неподвижной передней стойкой
258,2А620-1,2.0,6.0,11.0,0.75,Н,Ручной,Универсальный,18300.0,Тяжёлый,6070,3970,3220,Ø 90,Ленинград,(Свердлов),Горизонтально-расточной c неподвижной передней стойкой
259,2А620Ф1,2.0,6.0,11.0,0.75,Н,Ручной,Универсальный,18300.0,Тяжёлый,6070,3970,3220,Ø 90,Ленинград,(Свердлов),Горизонтально-расточной c УЦИ
260,2А620Ф1-1,2.0,6.0,11.0,0.75,Н,Ручной,Универсальный,17000.0,Тяжёлый,6070,3970,3220,Ø 90,Ленинград,(Свердлов),Горизонтально-расточной с ЧПУ
261,2А620Ф2-1,2.0,6.0,11.0,0.75,Н,Ручной,Универсальный,17500.0,Тяжёлый,6070,3970,3220,Ø 90,Ленинград,(Свердлов),Горизонтально-расточной с ЧПУ
262,2А622,2.0,6.0,11.0,0.75,Н,Ручной,Универсальный,17800.0,Тяжёлый,6070,3970,3220,Ø 110,Ленинград,(Свердлов),Горизонтально-расточной c неподвижной передней стойкой
263,2А622-1,2.0,6.0,11.0,0.75,Н,Ручной,Универсальный,17800.0,Тяжёлый,6070,3970,3220,Ø 90,Ленинград,(Свердлов),Горизонтально-расточной c неподвижной передней стойкой
264,2А622Ф1,2.0,6.0,11.0,0.75,Н,Ручной,Универсальный,17800.0,Тяжёлый,6070,3970,3220,Ø 90,Ленинград,(Свердлов),Горизонтально-расточной c УЦИ
265,2А622Ф1-1,2.0,6.0,11.0,0.75,Н,Ручной,Универсальный,17000.0,Тяжёлый,6100,3950,3200,Ø 110,Ленинград,(Свердлов),Горизонтально-расточной с ЧПУ
266,2А622Ф2-1,2.0,6.0,11.0,0.75,Н,Ручной,Универсальный,17500.0,Тяжёлый,6100,3950,3200,Ø 110,Ленинград,(Свердлов),Горизонтально-расточной с ЧПУ
267,2А622Ф4,2.0,6.0,20.0,0.75,Н,Ручной,Универсальный,20500.0,Тяжёлый,3980,6335,3980,Ø 110,Ленинград,(Свердлов),Горизонтально-расточной c неподвижной передней стойкой с ЧПУ
268,2А636,2.0,6.0,22.0,0.75,Н,Ручной,Универсальный,33945.0,Тяжёлый,5622,8160,5135,Ø 125,Иваново,None,Горизонтально-расточной c неподвижной передней стойкой
269,2А636Ф1,2.0,6.0,22.0,0.75,Н,Ручной,Универсальный,33945.0,Тяжёлый,5622,8160,5135,Ø 125,Иваново,None,Горизонтально-расточной c неподвижной передней стойкой
270,2А637,2.0,6.0,22.0,0.75,Н,Ручной,Универсальный,33337.0,Тяжёлый,5622,8160,5135,Ø 125,Иваново,None,Горизонтально-расточной c неподвижной передней стойкой
271,2А637Ф1,2.0,6.0,22.0,0.75,Н,Ручной,Универсальный,33337.0,Тяжёлый,5622,8160,5135,Ø 125,Иваново,None,Горизонтально-расточной c неподвижной передней стойкой
272,2А78,2.0,7.0,1.7,0.75,П,Ручной,Универсальный,2300.0,Средний,2500,1500,2135,500 х 1000,Майкоп,None,Отделочно-расточный вертикальный
273,2А78Н,2.0,7.0,1.7,0.75,П,Ручной,Универсальный,2000.0,Средний,1250,1350,2055,500 х 1250,Майкоп,None,Отделочно-расточный вертикальный
274,2Б118,2.0,1.0,1.7,0.75,Н,Ручной,Универсальный,450.0,Лёгкий,727,625,1960,Ø 18,Витебск,None,Вертикально-сверлильный универсальный одношпиндельный
275,2Б125,2.0,1.0,3.0,0.75,Н,Ручной,Универсальный,880.0,Лёгкий,727,625,1960,Ø 25,Краснореченск,None,Вертикально-сверлильный универсальный
276,2В440А,2.0,4.0,2.0,0.75,А,Ручной,Универсальный,3510.0,Средний,2520,2195,2385,400 х 800,Куйбышев,Самара,Координатно-расточной
277,2В56,2.0,5.0,5.5,0.75,Н,Ручной,Универсальный,4100.0,Средний,2545,1000,3315,Ø 50,Харьков,None,Радиально-сверлильный
278,2В622Ф4,2.0,6.0,22.0,0.75,Н,Ручной,Универсальный,18500.0,Тяжёлый,7600,3750,3500,Ø 110,Ленинград,(Свердлов),Горизонтально-расточной c неподвижной передней стойкой с ЧПУ
279,2Г103П,2.0,1.0,0.18,0.75,Н,Ручной,Универсальный,50.0,Лёгкий,450,225,480,Ø 3,Калязин,None,Сверлильный настольный повышенной точности
280,2Г106П,2.0,1.0,0.37,0.75,Н,Ручной,Универсальный,76.0,Лёгкий,580,292,530,Ø 6,Ереван,None,Сверлильный настольный повышенной точности
281,2Г125,2.0,1.0,2.2,0.75,Н,Ручной,Универсальный,750.0,Лёгкий,727,625,1960,Ø 25,Краснореченск,None,Вертикально-сверлильный универсальный
282,2Г175,2.0,1.0,11.0,0.75,Н,Ручной,Универсальный,4250.0,Средний,580,292,530,Ø 75,Стерлитамак,None,Вертикально-сверлильный универсальный одношпиндельный
283,2Г942,2.0,9.0,11.0,0.75,Н,Ручной,Универсальный,6500.0,Средний,5470,1750,2000,Кострома,None,None,Фрезерно-центровально-обточной
284,2Д450,2.0,4.0,4.5,0.75,Н,Ручной,Универсальный,7800.0,Средний,3305,2705,2800,630 х 1120,Москва (МЗКРС),None,Координатно-расточный
285,2Е440А,2.0,4.0,4.5,0.75,А,Ручной,Универсальный,3400.0,Средний,2440,2195,2385,400 х 800,Куйбышев,Самара,Координатно-расточной
286,2Е450,2.0,4.0,7.2,0.75,А,Ручной,Универсальный,9200.0,Средний,3600,3305,2660,630 х 1120,Москва (МЗКРС),None,Координатно-расточный с ЧПУ
287,2Е450А,2.0,4.0,7.2,0.75,А,Ручной,Универсальный,9200.0,Средний,3600,3000,3000,630 х 1120,Москва (МЗКРС),None,Координатно-расточный оптический
288,2Е450АФ1,2.0,4.0,7.2,0.75,А,Ручной,Универсальный,9200.0,Средний,3600,3000,3000,630 х 1120,Москва (МЗКРС),None,Координатно-расточный с УЦИ
289,2Е450АФ30,2.0,4.0,7.2,0.75,А,Ручной,Универсальный,7900.0,Средний,2800,3000,3000,630 х 1120,Москва (МЗКРС),None,Координатно-расточный с ЧПУ
290,2Е460А,2.0,4.0,2.3,0.75,А,Ручной,Универсальный,22000.0,Тяжёлый,4665,3460,4140,1000 х 1600,Ленинград,(Свердлов),Координатно-расточный двухстоечный
291,2Е470А,2.0,4.0,2.3,0.75,А,Ручной,Универсальный,36000.0,Тяжёлый,7225,4820,4880,1000 х 1600,Ленинград,(Свердлов),Координатно-расточный двухстоечный
292,2Е52,2.0,5.0,2.2,0.75,Н,Ручной,Универсальный,1030.0,Средний,1750,750,1900,Ø 25 х 130,Витебск,None,Радиально-сверлильный
293,2Е78,2.0,7.0,2.2,0.75,П,Ручной,Универсальный,2680.0,Средний,1750,1560,2125,500 х 1000,Майкоп,None,Отделочно-расточный вертикальный
294,2Е78П,2.0,7.0,2.2,0.75,П,Ручной,Универсальный,2680.0,Средний,1750,1560,2125,500 х 1000,Майкоп,None,Отделочно-расточный вертикальный
295,2Е78ПН,2.0,7.0,2.2,0.75,П,Ручной,Универсальный,2100.0,Средний,1250,1260,2125,500 х 1000,Майкоп,None,Отделочно-расточный вертикальный
296,2К52-1,2.0,5.0,1.5,0.75,Н,Ручной,Универсальный,1250.0,Средний,1760,915,1970,Ø 25,Гомель,(ГЗСУ),Радиально-сверлильный переносной
297,2К522,2.0,5.0,1.5,0.75,Н,Ручной,Универсальный,950.0,Лёгкий,1480,940,1990,Ø 32,Гомель,(ГЗСУ),Радиально-сверлильный переносной
298,2К550В,2.0,5.0,4.0,0.75,Н,Ручной,Универсальный,3500.0,Средний,2500,900,2700,Ø 55,Гомель,(ГЗСУ),Радиально-сверлильный
299,2Л53,2.0,5.0,2.2,0.75,Н,Ручной,Универсальный,2300.0,Средний,2000,800,2390,Ø 35,Октемберян (Гюмри),None,Радиально-сверлильный облегченный
300,2Л53У,2.0,5.0,2.2,0.75,Н,Ручной,Универсальный,2100.0,Средний,1850,800,2430,Ø 35,Октемберян (Гюмри),None,Радиально-сверлильный облегченный
301,2Л614,2.0,6.0,6.7,0.75,Н,Ручной,Универсальный,7350.0,Средний,4300,2075,2490,Ø 80,Чаренцаван,None,Горизонтально-расточной универсальный c неподвижной передней стойкой и встроенным поворотным столом
302,2М103П,2.0,1.0,0.18,0.75,Н,Ручной,Универсальный,40.0,Лёгкий,380,200,535,Ø 3,Кировакан,None,Сверлильный настольный повышенной точности
303,2М112,2.0,1.0,55.0,0.75,Н,Ручной,Универсальный,120.0,Лёгкий,795,370,950,Ø 12,None,None,Сверлильный настольный с вариатором
304,2М118,2.0,1.0,1.1,0.75,Н,Ручной,Универсальный,120.0,Лёгкий,880,500,1100,Ø 18,Оренбург,None,Сверлильный настольный
305,2М55,2.0,5.0,4.5,0.75,Н,Ручной,Универсальный,4700.0,Средний,2665,1020,3430,Ø 50,Одесса,None,Радиально-сверлильный
306,2М57,2.0,5.0,7.5,0.75,Н,Ручной,Универсальный,10500.0,Тяжёлый,1500,1630,4170,Ø 80,Одесса,None,Радиально-сверлильный
307,2М58-1,2.0,5.0,13.0,0.75,Н,Ручной,Универсальный,18000.0,Тяжёлый,4850,1830,4885,Ø 100,Иваново,None,Радиально-сверлильный
308,2М614,2.0,6.0,6.0,0.75,Н,Ручной,Универсальный,8500.0,Средний,4330,2590,2585,Ø 80,Чаренцаван,None,Горизонтально-расточной универсальный c неподвижной передней стойкой и встроенным поворотным столом
309,2Н106П,2.0,1.0,0.4,0.75,П,Ручной,Универсальный,80.0,Лёгкий,560,405,625,Ø 6,Молодечно,None,Сверлильный настольный
310,2Н112,2.0,1.0,0.6,0.75,Н,Ручной,Универсальный,120.0,Лёгкий,785,465,795,Ø 12,Пермь,None,Сверлильный настольный
311,2Н115ПМ,2.0,1.0,0.8,0.75,Н,Ручной,Универсальный,130.0,Лёгкий,785,465,895,Ø 12,Пермь,None,Сверлильный настольный
312,2Н118,2.0,1.0,1.5,0.75,Н,Ручной,Универсальный,450.0,Лёгкий,870,590,2080,Ø 18,Витебск,None,Вертикально-сверлильный универсальный одношпиндельный
313,2Н118-1,2.0,1.0,1.5,0.75,Н,Ручной,Универсальный,600.0,Лёгкий,730,648,1980,Ø 18,Молодечно,None,Вертикально-сверлильный универсальный
314,2Н125,2.0,1.0,2.2,0.75,Н,Ручной,Универсальный,880.0,Лёгкий,730,648,1980,Ø 25,Стерлитамак,None,Вертикально-сверлильный универсальный одношпиндельный
315,2Н125Л,2.0,1.0,1.5,0.75,Н,Ручной,Универсальный,620.0,Лёгкий,730,648,1980,Ø 25,Молодечно,None,Вертикально-сверлильный облегченный
316,2Н135,2.0,1.0,4.0,0.75,Н,Ручной,Универсальный,1200.0,Средний,730,648,1980,Ø 25,Стерлитамак,None,Вертикально-сверлильный универсальный одношпиндельный
317,2Н150,2.0,1.0,7.5,0.75,Н,Ручной,Универсальный,1870.0,Средний,730,648,1980,Ø 25,Стерлитамак,None,Вертикально-сверлильный универсальный одношпиндельный
318,2Н55,2.0,5.0,4.0,0.75,Н,Ручной,Универсальный,4100.0,Средний,2545,1000,3315,Ø 50,Одесса,None,Радиально-сверлильный
319,2Н57,2.0,5.0,7.0,0.75,Н,Ручной,Универсальный,6500.0,Средний,3620,1550,3875,Ø 75,Одесса,None,Радиально-сверлильный
320,2Н636Ф1,2.0,6.0,20.0,0.75,Н,Ручной,Универсальный,34600.0,Тяжёлый,6830,4110,4180,Ø 125,Коломна,None,Горизонтально-расточной
321,2Р135Ф2,2.0,1.0,3.7,0.75,Н,Ручной,Универсальный,5390.0,Средний,730,648,1980,Ø 35,Стерлитамак,None,Вертикально-сверлильный с ЧПУ
322,2Р53,2.0,5.0,4.0,0.75,Н,Ручной,Универсальный,12600.0,Тяжёлый,5675,1930,3470,Ø 35,Одесса,None,Радиально-сверлильный
323,2С108П,2.0,1.0,3.7,0.75,Н,Ручной,Универсальный,80.0,Лёгкий,750,335,540,Ø 8,Молодечно,None,Сверлильный настольный повышенной точности
324,2С118,2.0,1.0,0.75,0.75,Н,Ручной,Универсальный,125.0,Лёгкий,349,610,1168,Ø 18,Оренбург,None,Сверлильный настольный
325,2С125,2.0,1.0,1.5,0.75,Н,Ручной,Универсальный,430.0,Лёгкий,800,500,2050,Ø 25,Оренбург,None,Сверлильный вертикальный
326,2С125-01 (2С125-1),2.0,1.0,1.5,0.75,Н,Ручной,Универсальный,400.0,Лёгкий,800,430,1450,Ø 25,Стерлитамак,None,Вертикально-сверлильный универсальный одношпиндельный
327,2С125-04,2.0,1.0,1.5,0.75,Н,Ручной,Универсальный,450.0,Лёгкий,800,500,2050,Ø 25,Стерлитамак,None,Вертикально-сверлильный универсальный одношпиндельный
328,2С125МП,2.0,1.0,1.1,0.75,Н,Ручной,Универсальный,400.0,Лёгкий,750,550,2150,Ø 25,Оренбург,None,Сверлильный вертикальный
329,2С132,2.0,1.0,4.0,0.75,Н,Ручной,Универсальный,1400.0,Средний,1050,850,3000,Ø 32,Стерлитамак,None,Вертикально-сверлильный одношпиндельный
330,2С132К,2.0,1.0,4.0,0.75,Н,Ручной,Универсальный,1750.0,Средний,1050,1400,3000,Ø 32,Стерлитамак,None,Вертикально-сверлильный одношпиндельный
331,2С150ПМФ4,2.0,1.0,11.0,0.75,П,Ручной,Универсальный,6128.0,Средний,3100.0,2450.0,3500.0,500 х 1000,Стерлитамак,None,Сверлильно-фрезерно-расточной вертикальный с ЧПУ и АСИ
332,2С50,2.0,5.0,1.0,0.75,Н,Ручной,Универсальный,1200.0,Средний,730,648,1980,Ø 50,Стерлитамак,None,Вертикально-сверлильный универсальный
333,2С550А,2.0,5.0,4.0,0.75,Н,Ручной,Универсальный,3300.0,Средний,2430,965,2570,Ø 36,Стерлитамак,None,Радиально-сверлильный
334,2СС1М,2.0,1.0,0.18,0.75,Н,Ручной,Универсальный,53.0,Лёгкий,600,240,700,Ø 6,Саратов,None,Сверлильный настольный
335,2Т118,2.0,1.0,0.75,0.75,Н,Ручной,Универсальный,150.0,Лёгкий,665,465,1285,Ø 18,Гомель,ГСЗУ,Вертикально-сверлильный настольный
336,2Т125,2.0,1.0,1.5,0.75,Н,Ручной,Универсальный,430.0,Лёгкий,950,560,2200,Ø 18,Гомель,ГСЗУ,Вертикально-сверлильный настольный
337,2Т140,2.0,1.0,2.2,0.75,Н,Ручной,Универсальный,575.0,Лёгкий,770,540,2140,Ø 18,Гомель,ГСЗУ,Вертикально-сверлильный настольный
338,2Т150,2.0,1.0,4.0,0.75,Н,Ручной,Универсальный,850.0,Лёгкий,960,630,2590,Ø 18,Гомель,ГСЗУ,Вертикально-сверлильный настольный
339,312,3.0,1.0,2.8,0.75,П,Ручной,Универсальный,2300.0,Средний,2000,1365,1365,None,None,None,Круглошлифовальный
340,3130,3.0,1.0,2.8,0.75,Н,Полуавтомат,Универсальный,3600.0,Средний,3100,1720,1490,None,None,None,Круглошлифовальный универсальный полуавтомат
341,3131,3.0,1.0,4.0,0.75,Н,Полуавтомат,Универсальный,4600.0,Средний,4990,2000,1650,None,None,None,Круглошлифовальный универсальный полуавтомат
342,3132,3.0,1.0,5.5,0.75,Н,Полуавтомат,Универсальный,4600.0,Средний,4100,2200,1720,None,None,None,Круглошлифовальный универсальный полуавтомат
343,3151,3.0,1.0,5.8,0.75,П,Ручной,Универсальный,3900.0,Средний,2260,1590,1770,None,None,None,Круглошлифовальный универсальный
344,3180,3.0,1.0,14.0,0.75,П,Ручной,Универсальный,3250.0,Средний,2265,1650,1620,None,None,None,Круглошлифовальный бесцентровый (бесцентровошлифовальный)
345,3184,3.0,1.0,15.0,0.75,Н,Ручной,Универсальный,4300.0,Средний,2030,1900,1600,None,None,None,Круглошлифовальный бесцентровый (бесцентровошлифовальный)
346,32К84СФ4,3.0,2.0,0.5,0.75,С,Ручной,Универсальный,4450.0,Средний,2950.0,3500.0,2930.0,None,None,None,Координатно-шлифовальный с ЧПУ особо точный
347,3451,3.0,4.0,3.0,0.75,П,Полуавтомат,Универсальный,3900.0,Средний,2600.0,1513.0,1900.0,Москва,МСЗ,None,Шлицешлифовальный универсальный полуавтомат
348,3451Б,3.0,4.0,3.0,0.75,П,Полуавтомат,Универсальный,4900.0,Средний,3450.0,1513.0,1900.0,Москва,МСЗ,None,Шлицешлифовальный универсальный полуавтомат
349,3451В,3.0,4.0,3.0,0.75,П,Полуавтомат,Универсальный,6200.0,Средний,4450.0,1513.0,1900.0,Москва,МСЗ,None,Шлицешлифовальный универсальный полуавтомат
350,3451Г,3.0,4.0,3.0,0.75,П,Полуавтомат,Универсальный,6820.0,Средний,5250.0,1513.0,1900.0,Москва,МСЗ,None,Шлицешлифовальный универсальный полуавтомат
351,3622,3.0,6.0,1.1,0.75,П,Ручной,Универсальный,1075.0,Средний,710.0,1060.0,1500.0,Мукачево,None,None,Алмазно-заточной для резцов
352,3622Д,3.0,6.0,0.75,0.75,П,Ручной,Универсальный,450.0,Лёгкий,560.0,80.0,1280.0,Мукачево,None,None,Алмазно-заточной для резцов
353,371 (СК-371),3.0,7.0,2.5,0.75,В,Ручной,Универсальный,1950.0,Средний,2500.0,1590.0,1950.0,200 х 600,Витебск,None,Плоскошлифовальный с горизонтальным шпинделем универсальный
354,371М-1,3.0,7.0,2.8,0.75,В,Ручной,Универсальный,1950.0,Средний,2500.0,1590.0,1950.0,200 х 600,Витебск,None,Плоскошлифовальный с горизонтальным шпинделем универсальный
355,372Б,3.0,7.0,4.5,0.75,Н,Ручной,Универсальный,4500.0,Средний,3505.0,1845.0,2135.0,300 х 1000,Москва,None,Плоскошлифовальный с горизонтальным шпинделем универсальный
356,3951ВФ1,3.0,9.0,0.55,0.75,В,Ручной,Универсальный,2400.0,Средний,1955.0,1650.0,1960.0,20 х 20,Ленинград,СПЗПС,Профилешлифовальный оптический
357,395М,3.0,9.0,0.65,0.75,В,Ручной,Универсальный,1500.0,Средний,1485.0,1600.0,2000.0,20 х 20,Ленинград,СПЗПС,Профилешлифовальный оптический
358,395МФ10,3.0,9.0,0.6,0.75,П,Ручной,Универсальный,1965.0,Средний,1555.0,1620.0,2000.0,20 х 20,Ленинград,СПЗПС,Профилешлифовальный оптический
359,3А10П,3.0,1.0,0.6,0.75,П,Ручной,Универсальный,580.0,Лёгкий,670,745,1500,None,None,None,Круглошлифовальный универсальный повышенной точности
360,3А110,3.0,1.0,1.5,0.75,В,Полуавтомат,Универсальный,3780.0,Средний,1600,1670,1550,None,None,None,Круглошлифовальный универсальный полуавтомат
361,3А130,3.0,1.0,4.0,0.75,Н,Полуавтомат,Универсальный,3780.0,Средний,3060,2000,1650,None,None,None,Круглошлифовальный универсальный полуавтомат
362,3А151,3.0,1.0,7.5,0.75,П,Полуавтомат,Универсальный,4200.0,Средний,3100,2100,1500,None,None,None,Круглошлифовальный универсальный полуавтомат
363,3А161,3.0,1.0,7.5,0.75,П,Полуавтомат,Универсальный,4500.0,Средний,4100,2100,1560,None,None,None,Круглошлифовальный универсальный полуавтомат
364,3А164,3.0,1.0,13.0,0.75,П,Полуавтомат,Универсальный,10000.0,Средний,6000,2550,1585,None,None,None,Круглошлифовальный универсальный полуавтомат
365,3А175,3.0,1.0,17.0,0.75,П,Полуавтомат,Универсальный,14700.0,Тяжёлый,8220,2620,1850,None,None,None,Круглошлифовальный универсальный полуавтомат
366,3А184,3.0,1.0,15.0,0.75,В,Ручной,Универсальный,5670.0,Средний,3510,2200,1910,None,None,None,Круглошлифовальный бесцентровый (бесцентровошлифовальный)
367,3А184В,3.0,1.0,30.0,0.75,"В,А",Ручной,Универсальный,6990.0,Средний,3650,2420,2120,None,None,None,Круглошлифовальный бесцентровый (бесцентровошлифовальный)
368,"3А227, 3А227П",3.0,2.0,3.0,0.75,П,Ручной,Универсальный,3100.0,Средний,2500,1490,1650,Ø 400,Саратов,None,Внутришлифовальный универсальный
369,3А228,3.0,2.0,9.6,0.75,П,Ручной,Универсальный,4350.0,Средний,3000,1570,1450,Ø 200,Воронеж,None,Внутришлифовальный универсальный
370,3А423,3.0,4.0,7.5,0.75,П,Ручной,Универсальный,5750.0,Средний,4600.0,2100.0,1580.0,Ø 580,Лубны,None,Круглошлифовальный для перешлифовки шеек коленвалов
371,3А64,3.0,6.0,0.65,0.75,П,Ручной,Универсальный,1000.0,Средний,1700.0,1460.0,1600.0,Ø 250 х 650,Витебск,None,Универсально-заточной
372,3А64Д,3.0,6.0,0.75,0.75,П,Ручной,Универсальный,1100.0,Средний,1700.0,1460.0,1605.0,Ø 250 х 650,Витебск,None,Универсально-заточной
373,3А64М,3.0,6.0,0.75,0.75,П,Ручной,Универсальный,1040.0,Средний,1700.0,1460.0,1605.0,Ø 250 х 650,Витебск,None,Универсально-заточной
374,3Б12,3.0,1.0,3.0,0.75,П,Ручной,Универсальный,3000.0,Средний,2600,1750,1750,None,None,None,Круглошлифовальный универсальный
375,3Б151,3.0,1.0,7.5,0.75,П,Полуавтомат,Универсальный,4200.0,Средний,3100,2100,1500,None,None,None,Круглошлифовальный универсальный полуавтомат
376,3Б153,3.0,1.0,5.5,0.75,П,Ручной,Универсальный,3000.0,Средний,2650,1600,1650,None,None,None,Круглошлифовальный универсальный
377,3Б161,3.0,1.0,7.5,0.75,П,Полуавтомат,Универсальный,4500.0,Средний,4100,2100,1560,None,None,None,Круглошлифовальный универсальный полуавтомат
